"Indicator","Mean","Median","Min","Max","Kurtosis","Skewness"
"FinanceSSGEMplus",4.24654231826444,4.11169375,1.99202083333333,6.8975,-0.450864124114226,0.482866573594358
"DomCred2Priv",60.0843395683453,48.30101,8.14487,248.75861,2.47420408203516,1.505812781451
"MicroLoanIMFFAS",1.43484937480621,0.634217245048476,0.00305698388338293,17.3416616921972,26.2499864694565,4.58729345589977
"MarkCap",58.5665792446043,25.3356733333333,0.202006666666667,1507.76958666667,88.7964367280669,8.72551578890052
"VenCapInvPB",0.558260772960748,0.111103076821971,0.00534683557526094,29.2328932458031,120.907292287647,10.6844599773915
"VenCapRecPB",0.215966191807104,0.0686183488682968,0.00709633117418918,5.49576079905193,73.9233438322912,7.78025173265905
"LateVCInt",0.252105066670357,0.0101440728543135,0.0020537530464865,11.4255345628103,71.9890835375114,8.08782644592859
"JointVenPB",0.181719921093792,0.0409178798352087,0.000545580727769834,4.54864124880929,66.1308739315564,7.21091230006017
"AppTariffWTO",4.15843274945706,2.34349796279979,0,47.5443414971126,40.9803559834507,5.09128432379535
"HHI",0.187470975352518,0.171045739,0.066903419,0.550213282,2.05241854985256,1.19067799457215
"DomMarkSc",1370.76970503597,253.121,4.136,37072.086,47.4650124953996,6.54798220520378
"Demogdividend",39.0037186749042,35.4066619395413,17.6254678832397,66.8673878401446,-0.989602332492859,0.531181811610757
"KnowIntsEmp",26.6653573214914,23.3062592450931,2.02398790930257,68.0148193887002,-0.888674768730282,0.375120436864925
"FemEmpDeg",13.0609942646924,11.1956358677973,0.144468923089442,31.0430669653971,-1.04477699749335,0.350009973270824
"GERDPerf",0.502172424930694,0.0598823112755213,0.00148,5.902126447,11.9408002265075,2.96659919866895
"GERDFinBus",28.4531812751461,28.72709132,0,80.83961,-1.01583912384765,0.343738949343753
"PublicPrivCopubs",2.007737729983,1.33795828786251,0.219305965770733,9.0718581950889,2.96681246561014,1.78276051296538
"UniResColl",3.94945139186515,3.82649359036145,2.30132042384106,6.71657171668667,-0.0509335753376893,0.424538967343892
"THEunirank",51.6517985611511,42.2,26.7,97.1,-0.252038250795924,1.01791777356056
"StatClustDev",3.98668514542244,3.84272536842105,2.58721908609272,5.40164276110444,-0.753538329990981,0.284140911912699
"PatFam",1.29152853780693,0.0335508878156991,0,73.6723163841808,114.905045626569,10.3325960455868
"IntelPropPay",1.04897953647692,0.540994383728785,0,23.2467113474197,64.281123142188,7.17358853231314
"HiTechImp",9.32278838434812,8.0341749564308,1.30493016077765,55.1938092949383,21.6050636272804,3.66742856990818
"ICTSevImp",1.74586100743674,1.43501528788813,0.0115399699773943,16.0148246063938,31.0726647528946,4.43655834765667
"FDINetInfl",3.91032129496402,2.49219666666667,-161.339056666667,224.254353333333,66.932404455508,3.28829501150937
"ResTalBus",23.4867573223324,11.3440945977716,0.30038,81.9122211543954,-0.614287545673637,0.864015699893701
"PatOrig",2.50605355696383,0.614476124102398,0,61.5564267244975,39.9728198043479,5.96377003455154
"PCTInventors",0.57857078338489,0.062989736535067,0,7.56850811485643,13.2193129963848,3.45158503908302
"UtilModOrig",1.05473799938926,0.161642133122674,0,88.5081625883207,136.594108089961,11.6406722070051
"SciTechArt",13.4175757960092,9.94407387450995,0.546758522098379,47.7218872791625,0.515725423022762,1.13034208872641
"CitDoc",466.215827338129,281,53,3213,7.98295180100053,2.38549871915745
"GrowPPP",0.826394735998205,0.859216123220123,-4.57028952563633,6.26310396108015,0.870741273921594,-0.00284856504719771
"UnicornVal",1.08827823746237,0,0,21.849963583394,27.523546069229,4.75249633038321
"CompSoftSpend",0.2362726335997,0.203270860457117,0.00443684605733099,1.26297712317813,3.08867736905845,1.42269477845315
"HiTechManuf",22.196898182964,18.348126,1.044770283,79.64692541,0.365752781318832,0.937699618858753
"IntelPropRec",0.484706400139482,0.0706007382999381,0,5.36032739528423,9.15338730712239,3.00999614676299
"EcComplexity",0.0789582284676259,-0.057847843,-2.1804597,2.2851527,-0.43481549302523,0.256929376680477
"HTExpHKG",4.5347691556964,1.50794136618736,0.0195608893909628,48.3895671376223,12.4924135263749,3.09070375391724
"ICTServExp",2.99244909572913,1.67898535131736,0.00101665759582167,36.9786824505852,26.9382561564806,4.54871734660295
"ISOQual",5.4577077356295,3.23189922587884,0.0387995421654024,29.8711629845067,3.41777022650911,1.8033806698479
"CorpIAs",32.3720252968086,39.3485645992968,-371.298464563929,89.7873201600379,34.4359009999789,-4.68316470175347
"TradmkOrig",36.7365065109201,28.991094490921,0,202.332963008877,7.57261913460451,2.26071368055456
"BrandVal",3.1975705922871,0.471882959537421,0,21.1219440697848,2.466593624466,1.81214191923176
"IndustDes",2.12181092445524,0.8354249028796,0,23.2797761215246,12.6176039559156,3.34050611811013
"CultServExp",0.857462526528612,0.418743453882857,0.00211263056789771,18.3096191777759,60.7208296728803,6.86659353632495
"FilmsOmdia",4.4708214125603,2.68814949724078,0,46.9295443141247,26.1549881794748,4.2562343564716
"EntMedia",0.538471268779136,0.171461330453904,0.0160041864010229,3.59144542530875,2.73640685600376,1.83848761366844
"CreaGoodExp",1.26613958880534,0.378896372921332,0.000119757575267997,11.5025194605158,7.06825838534182,2.61355683870045
"TLDsMix",117.15692715018,22.3131008753049,0.124600220116794,2538.5717638906,46.1703908933066,5.92832167190918
"GHRecSentNoBot",1357449.62598476,411718.754642702,2571.5542333683,14402260.9693772,13.9162368845402,2.90612237635279
"AppCrea",1305696.23670661,155386.88199998,0.0378007522349695,98744342.4777995,131.116560483033,11.3103484534263
